dats	tims	lons	lats	shear	mes		
01/01/2000	0:00	96,689	30,689	c	1		
01/01/2000	0:00	-16	22,247	a	1		
01/01/2000	0:00	-83,317	33	c	1		
01/01/2000	0:00	-169	28,565	c	1		
01/01/2000	6:00	109,585	32,415	c	1		
01/01/2000	6:00	-15	21,828	a	1		
01/01/2000	6:00	-137	37,765	a	1		
01/01/2000	6:00	-175,33	30,67	c	1		
01/01/2000	12:00	121,225	32,775	c	1		
01/01/2000	12:00	32	29,895	c	1		
01/01/2000	12:00	-14,622	21,378	a	1		
01/01/2000	12:00	-79,515	31	a	1		
01/01/2000	12:00	-130	31,603	a	1		
01/01/2000	12:00	-176	29,179	c	1		
01/01/2000	18:00	121,621	31,621	a	1		
01/01/2000	18:00	92,474	30,526	a	1		
01/01/2000	18:00	36	30,664	c	1		
01/01/2000	18:00	-14	21,21	a	1		
01/01/2000	18:00	-75	29,844	a	1		
01/01/2000	18:00	-125	25,556	a	1		
01/01/2000	18:00	-158	30,702	c	1		
02/01/2000	0:00	88,303	33,697	a	1		
02/01/2000	0:00	41,361	28,639	c	1		
02/01/2000	0:00	-13	21,369	a	1		
02/01/2000	0:00	-71	29,345	a	1		
02/01/2000	0:00	-124	23,847	a	1		
02/01/2000	0:00	-153,102	50,898	c	1		
02/01/2000	6:00	69,453	42,453	a	1		
02/01/2000	6:00	51	24,456	c	1		
02/01/2000	6:00	41,221	31,221	a	1		
02/01/2000	6:00	18	28,692	a	1		
02/01/2000	6:00	-11	42,114	a	1		
02/01/2000	6:00	-68	29,061	a	1		
02/01/2000	6:00	-124	23,871	a	1		
02/01/2000	6:00	-148	30,813	c	1		
02/01/2000	12:00	55	24,76	c	1		
02/01/2000	12:00	15,44	29,56	a	1		
02/01/2000	12:00	-9,667	39,667	a	1		
02/01/2000	12:00	-65,999	28	a	1		
02/01/2000	12:00	-118,565	24,435	a	1		
02/01/2000	12:00	-147	32,022	c	1		
02/01/2000	18:00	80,409	39,591	a	1		
02/01/2000	18:00	51	24,578	c	1		
02/01/2000	18:00	31	32,046	c	1		
02/01/2000	18:00	18,025	30	a	1		
02/01/2000	18:00	-7	39,333	a	1		
02/01/2000	18:00	-31	37,559	a	1		
02/01/2000	18:00	-65	26,43	a	1		
02/01/2000	18:00	-146	30,195	c	1		
02/01/2000	18:00	-170,577	29,423	c	1		
03/01/2000	0:00	52,88	22,88	c	1		
03/01/2000	0:00	-2	23,998	a	1		
03/01/2000	0:00	-57,997	29,003	a	1		
03/01/2000	0:00	-143	34,469	c	1		
03/01/2000	0:00	-175,647	30,353	c	1		
03/01/2000	6:00	75,499	38,501	a	1		
03/01/2000	6:00	39,744	28	c	1		
03/01/2000	6:00	1	24,225	a	1		
03/01/2000	6:00	-64	23,747	a	1		
03/01/2000	6:00	-117	33,41	a	1		
03/01/2000	6:00	-179,421	29,579	c	1		
03/01/2000	12:00	45	26,817	c	1		
03/01/2000	12:00	4	24,12	a	1		
03/01/2000	12:00	-51,84	29,16	a	1		
03/01/2000	12:00	-113	31,488	a	1		
03/01/2000	12:00	-134	35,258	c	1		
03/01/2000	12:00	-149,248	36	c	1		
03/01/2000	12:00	-169,418	36	c	1		
03/01/2000	18:00	61	23,144	c	1		
03/01/2000	18:00	6	24,748	a	1		
03/01/2000	18:00	-58,321	22,321	a	1		
03/01/2000	18:00	-107,942	30,942	a	1		
03/01/2000	18:00	-157	32,952	a	1		
04/01/2000	0:00	65,011	22,989	c	1		
04/01/2000	0:00	15,434	26,434	a	1		
04/01/2000	0:00	-9	30,786	a	1		
04/01/2000	0:00	-33	26,246	a	1		
04/01/2000	0:00	-105,133	29,867	a	1		
04/01/2000	0:00	-157	30,031	c	1		
04/01/2000	0:00	-167,321	28,321	c	1		
04/01/2000	6:00	76,699	28,699	c	1		
04/01/2000	6:00	61	22,686	a	1		
04/01/2000	6:00	-6	30,205	a	1		
04/01/2000	6:00	-30,599	25	a	1		
04/01/2000	6:00	-120	28,752	a	1		
04/01/2000	6:00	-152,611	29	c	1		
04/01/2000	6:00	-161	29,937	c	1		
04/01/2000	12:00	108	28,712	c	1		
04/01/2000	12:00	60	22,284	c	1		
04/01/2000	12:00	-17	26,48	a	1		
04/01/2000	12:00	-28	23,889	a	1		
04/01/2000	12:00	-60	45,752	a	1		
04/01/2000	12:00	-112,296	25,704	a	1		
04/01/2000	12:00	-149,999	27,999	c	1		
04/01/2000	18:00	141,696	27,696	c	1		
04/01/2000	18:00	75,395	27	c	1		
04/01/2000	18:00	-51,946	22,054	a	1		
04/01/2000	18:00	-119	27,229	a	1		
04/01/2000	18:00	-148,637	28,363	c	1		
05/01/2000	0:00	152	26,825	c	1		
05/01/2000	0:00	67,782	21,782	a	1		
05/01/2000	0:00	53	34,05	c	1		
05/01/2000	0:00	-18	22,533	a	1		
05/01/2000	0:00	-116,612	26,388	a	1		
05/01/2000	6:00	62,839	32,161	a	1		
05/01/2000	6:00	-56,805	21,195	a	1		
05/01/2000	6:00	-101,279	30,721	a	1		
05/01/2000	6:00	-113,724	26,276	c	1		
05/01/2000	6:00	-147,047	32,953	a	1		
05/01/2000	12:00	118	28,71	c	1		
05/01/2000	12:00	109	30,765	a	1		
05/01/2000	12:00	-45	22,676	a	1		
05/01/2000	12:00	-107,318	28,318	c	1		
05/01/2000	12:00	-146	33,895	a	1		
05/01/2000	18:00	127	27,822	c	1		
05/01/2000	18:00	73,736	24	a	1		
05/01/2000	18:00	-3,739	23,261	c	1		
05/01/2000	18:00	-42,167	22,833	a	1		
05/01/2000	18:00	-84,795	32,795	a	1		
05/01/2000	18:00	-102	30,351	c	1		
05/01/2000	18:00	-121,774	31	a	1		
05/01/2000	18:00	-179,008	30,992	c	1		
06/01/2000	0:00	77,232	23,768	a	1		
06/01/2000	0:00	30,878	26,878	c	1		
06/01/2000	0:00	0	23,563	c	1		
06/01/2000	0:00	-31,604	23,396	a	1		
06/01/2000	0:00	-89,209	35,209	c	1		
06/01/2000	0:00	-144,608	31,608	a	1		
06/01/2000	6:00	80	22,675	a	1		
06/01/2000	6:00	18,463	26,537	c	1		
06/01/2000	6:00	-26	22,726	a	1		
06/01/2000	6:00	-71,039	34,961	a	1		
06/01/2000	6:00	-174,081	33	c	1		
06/01/2000	12:00	28	27,389	c	1		
06/01/2000	12:00	-18,135	22,865	a	1		
06/01/2000	12:00	-68,061	35,061	c	1		
06/01/2000	12:00	-138	30,496	a	1		
06/01/2000	12:00	-162	43,951	c	1		
06/01/2000	18:00	51,799	30,799	c	1		
06/01/2000	18:00	-17,059	23,941	a	1		
06/01/2000	18:00	-135,543	29,457	a	1		
07/01/2000	0:00	-16,505	24,505	a	1		
07/01/2000	0:00	-134,375	27,625	a	1		
07/01/2000	6:00	82,644	26,644	a	1		
07/01/2000	6:00	-10	24,752	a	1		
07/01/2000	6:00	-132	26,466	a	1		
07/01/2000	12:00	87,559	25,559	a	1		
07/01/2000	12:00	-17	25,464	a	1		
07/01/2000	12:00	-132	24,52	a	1		
07/01/2000	18:00	92,141	25	a	1		
07/01/2000	18:00	-18	25,235	a	1		
07/01/2000	18:00	-54,905	28,095	a	1		
07/01/2000	18:00	-130	23,252	a	1		
08/01/2000	0:00	-18	24,179	a	1		
08/01/2000	0:00	-54	26,248	a	1		
08/01/2000	0:00	-129,632	22,368	a	1		
08/01/2000	6:00	-16	23,321	a	1		
